INSTANCESITUATION,FIRSTOCCURRENCE_UTC,Interval
Disk service queue full,1464796885,122
Service status,1464797003,238
Disk service queue full,1464797125,722
cpu_busy : CPU Status,1464797363,660
Disk service queue full,1464798085,117
Percent disk active,1464798745,663
Percent CPU Utilization,1464798862,3000
Percent disk active,1464799525,0
Percent disk active,1464802525,360
Percent space used,1464802525,778
15 Minute Average PageIn/PageOut,1464803303,422
cpu_busy : CPU Status,1464803663,0
Disk service queue full,1464804085,120
Disk service queue full,1464804085,1140
Disk service queue full,1464804205,1378
Percent cpu idle,1464805345,62
15 Minute Average PageIn/PageOut,1464806723,660
Percent disk active,1464806785,120
Disk service queue full,1464807445,180
Disk service queue full,1464807565,120
Percent cpu idle,1464807745,1198
Disk service queue full,1464807865,300
cpu_busy : CPU Status,1464809063,242
cpu_busy : CPU Status,1464809363,1800
Disk service queue full,1464809605,1080
Disk service queue full,1464811405,177
Percent cpu idle,1464812485,301
Percent CPU Utilization,1464812662,242
cpu_busy : CPU Status,1464812963,358
Disk service queue full,1464813205,902
cpu_busy : CPU Status,1464813563,898
Disk service queue full,1464814465,1499
cpu_busy : CPU Status,1464815363,1683
Percent CPU Utilization,1464816862,840
Percent cpu idle,1464818545,660
Disk service queue full,1464819385,417
Percent disk active,1464820045,181
Percent CPU Utilization,1464820462,59
15 Minute Average PageIn/PageOut,1464820643,361
Percent CPU Utilization,1464820702,122
cpu_busy : CPU Status,1464821063,118
Disk service queue full,1464821185,2580
15 Minute Average PageIn/PageOut,1464821303,1862
15 Minute Average PageIn/PageOut,1464823883,57
Percent disk active,1464825745,60
Percent CPU Utilization,1464825802,900
Percent CPU Utilization,1464825862,1262
Percent CPU Utilization,1464826762,1021
Percent space used,1464828024,240
Disk service queue full,1464829045,29
Disk service queue full,1464829285,148
Percent space used,1464829314,3
Percent CPU Utilization,1464829462,120
Disk service queue full,1464829465,1378
Percent disk active,1464829585,1739
cpu_busy : CPU Status,1464830963,183
Percent CPU Utilization,1464832702,1049
Disk service queue full,1464832885,604
Percent space used,1464833934,0
Percent space used,1464834538,267
Percent space used,1464834538,358
Disk service queue full,1464834805,62
Percent CPU Utilization,1464835163,598
Disk service queue full,1464835225,61
15 Minute Average PageIn/PageOut,1464835823,421
Percent space used,1464835884,58
Disk service queue full,1464836305,122
cpu_busy : CPU Status,1464836363,60
Disk service queue full,1464836485,540
Disk service queue full,1464836545,117
Percent cpu idle,1464837085,3
Percent CPU Utilization,1464837202,298
Disk service queue full,1464837205,182
15 Minute Average PageIn/PageOut,1464837503,753
Percent disk active,1464837685,0
Percent space used,1464838438,627
Percent space used,1464838438,897
Percent cpu idle,1464839065,901
Percent CPU Utilization,1464839962,2
cpu_busy : CPU Status,1464840863,240
Percent space used,1464840865,658
Percent disk active,1464841105,182
cpu_busy : CPU Status,1464841763,60
Percent cpu idle,1464841945,540
Disk service queue full,1464842005,118
Disk service queue full,1464842545,902
Percent CPU Utilization,1464842663,120
Disk service queue full,1464843565,60
Disk service queue full,1464843685,58
Percent disk active,1464843745,542
15 Minute Average PageIn/PageOut,1464843803,120
Percent cpu idle,1464844345,120
Percent space used,1464844465,177
Disk service queue full,1464844585,301
Percent CPU Utilization,1464844762,362
Percent CPU Utilization,1464845063,60
Disk service queue full,1464845425,1020
Percent space used,1464845485,3540
Percent disk active,1464846505,1080
Percent disk active,1464850045,300
Disk service queue full,1464851125,240
Disk service queue full,1464851425,178
Disk service queue full,1464851665,182
15 Minute Average PageIn/PageOut,1464851843,240
Disk service queue full,1464852025,180
Percent disk active,1464852265,960
Percent disk active,1464852445,58
Disk service queue full,1464853405,1800
Percent CPU Utilization,1464853463,60
Percent CPU Utilization,1464855263,962
15 Minute Average PageIn/PageOut,1464855323,778
Disk service queue full,1464856285,300
Percent CPU Utilization,1464857063,2
15 Minute Average PageIn/PageOut,1464857363,1198
Percent space used,1464857365,1022
Percent CPU Utilization,1464858563,1078
Disk service queue full,1464859585,1142
Percent CPU Utilization,1464860663,120
Disk service queue full,1464861805,778
Percent disk active,1464861925,782
15 Minute Average PageIn/PageOut,1464862703,898
Disk service queue full,1464863485,182
15 Minute Average PageIn/PageOut,1464864383,780
Percent disk active,1464864565,0
Percent cpu idle,1464865345,0
Disk service queue full,1464865345,60
Percent cpu idle,1464865345,1438
Disk service queue full,1464865405,242
15 Minute Average PageIn/PageOut,1464866843,960
Disk service queue full,1464867085,118
Percent disk active,1464868045,362
Percent CPU Utilization,1464868163,60
Percent disk active,1464868525,178
Percent cpu idle,1464868585,122
cpu_busy : CPU Status,1464868763,0
Disk service queue full,1464868885,0
Disk service queue full,1464868885,60
Percent cpu idle,1464868945,478
Disk service queue full,1464868945,480
Disk service queue full,1464869425,662
15 Minute Average PageIn/PageOut,1464869903,420
Percent disk active,1464870565,600
Percent disk active,1464870985,240
Disk service queue full,1464871585,660
Percent disk active,1464871825,178
Disk service queue full,1464872485,122
Percent CPU Utilization,1464872663,0
Used Memory Pct,1464872785,60
Disk service queue full,1464872785,540
Disk service queue full,1464872845,60
Percent cpu idle,1464873385,120
Percent disk active,1464873445,720
Percent space used,1464873565,120
Disk service queue full,1464874285,1258
Percent space used,1464874405,422
Percent CPU Utilization,1464875663,0
Percent cpu idle,1464876085,0
Disk service queue full,1464876085,0
Disk service queue full,1464876085,0
Disk service queue full,1464876085,0
Percent cpu idle,1464876085,60
Disk service queue full,1464876085,60
Disk service queue full,1464876145,480
Disk service queue full,1464876205,1320
Percent disk active,1464876685,958
Disk service queue full,1464878005,722
Percent CPU Utilization,1464878963,61
Disk service queue full,1464879685,117
Percent disk active,1464879746,1682
cpu_busy : CPU Status,1464879863,60
Percent disk active,1464881545,1440
Disk service queue full,1464881605,120
Disk service queue full,1464883045,120
Percent disk active,1464883165,478
Disk service queue full,1464883285,900
cpu_busy : CPU Status,1464883763,482
Percent CPU Utilization,1464884663,1140
Percent disk active,1464885145,178
Percent cpu idle,1464886285,182
Percent CPU Utilization,1464886463,360
Percent disk active,1464886645,300
Disk service queue full,1464887005,1500
Disk service queue full,1464887305,658
Disk service queue full,1464888805,182
cpu_busy : CPU Status,1464889463,118
Percent disk active,1464889645,300
cpu_busy : CPU Status,1464889763,542
Percent CPU Utilization,1464890063,540
Disk service queue full,1464890605,1318
Percent cpu idle,1464891145,482
cpu_busy : CPU Status,1464892463,300
Percent disk active,1464892945,180
Percent disk active,1464893245,420
Disk service queue full,1464893425,240
Disk service queue full,1464893845,180
Disk service queue full,1464894085,540
Disk service queue full,1464894265,1620
Percent cpu idle,1464894805,360
Disk service queue full,1464896425,180
Percent disk active,1464896785,60
Percent disk active,1464896965,838
Percent disk active,1464897025,239
Percent CPU Utilization,1464897863,361
Percent CPU Utilization,1464898102,2
cpu_busy : CPU Status,1464898463,420
Percent cpu idle,1464898465,720
Percent cpu idle,1464898885,58
Disk service queue full,1464899605,1202
Percent CPU Utilization,1464899663,420
Disk service queue full,1464900865,0
Disk service queue full,1464901285,417
Percent disk active,1464901285,783
Percent CPU Utilization,1464901702,420
Percent cpu idle,1464902485,1197
Percent space used,1464902905,61
Percent CPU Utilization,1464904102,362
Percent CPU Utilization,1464904163,422
Percent cpu idle,1464904525,1978
Percent cpu idle,1464904947,58
Percent disk active,1464906925,2
15 Minute Average PageIn/PageOut,1464906983,600
Percent disk active,1464906985,118
Disk service queue full,1464907585,62
15 Minute Average PageIn/PageOut,1464907703,780
Disk service queue full,1464907765,118
Percent cpu idle,1464908545,723
Percent CPU Utilization,1464908663,957
Percent cpu idle,1464909386,3
15 Minute Average PageIn/PageOut,1464910343,660
Percent disk active,1464910346,957
Percent cpu idle,1464911006,122
Percent CPU Utilization,1464911963,118
Percent disk active,1464912085,660
15 Minute Average PageIn/PageOut,1464912203,2582
cpu_busy : CPU Status,1464912863,0
Disk service queue full,1464915445,59
Percent cpu idle,1464915445,240
Disk service queue full,1464915685,121
Percent space used,1464915744,658
Disk service queue full,1464915865,122
15 Minute Average PageIn/PageOut,1464916523,421
Percent disk active,1464916645,237
Percent cpu idle,1464917066,60
Service status,1464917303,2882
cpu_busy : CPU Status,1464917363,61
Percent disk active,1464920245,57
Percent cpu idle,1464920306,783
Percent CPU Utilization,1464920363,1017
Percent cpu idle,1464921146,0
cpu_busy : CPU Status,1464922163,60
cpu_busy : CPU Status,1464922163,722
Disk service queue full,1464922885,57
Percent disk active,1464922945,361
Percent CPU Utilization,1464923002,0
cpu_busy : CPU Status,1464923363,2
Percent CPU Utilization,1464923363,181
Disk service queue full,1464923365,177
Percent cpu idle,1464923546,2
15 Minute Average PageIn/PageOut,1464923723,60
Disk service queue full,1464923725,1620
Disk service queue full,1464923785,60
Disk service queue full,1464925405,598
Percent space used,1464925465,2
Percent CPU Utilization,1464926063,298
Percent space used,1464926065,182
Percent CPU Utilization,1464926363,1618
Percent disk active,1464926545,1502
cpu_busy : CPU Status,1464928163,360
Percent space used,1464929665,60
Disk service queue full,1464930025,118
Disk service queue full,1464930085,60
15 Minute Average PageIn/PageOut,1464930203,60
15 Minute Average PageIn/PageOut,1464930263,240
15 Minute Average PageIn/PageOut,1464930323,2100
Percent CPU Utilization,1464930563,600
cpu_busy : CPU Status,1464932663,660
Percent CPU Utilization,1464933263,182
15 Minute Average PageIn/PageOut,1464933923,598
Disk service queue full,1464934105,842
15 Minute Average PageIn/PageOut,1464934703,118
Percent disk active,1464935545,182
Percent CPU Utilization,1464935663,118
Disk service queue full,1464935845,303
cpu_busy : CPU Status,1464935963,1079
Percent space used,1464936266,120
Disk service queue full,1464937345,0
Disk service queue full,1464937465,0
Percent disk active,1464937465,300
Disk service queue full,1464937765,182
Disk service queue full,1464937765,658
15 Minute Average PageIn/PageOut,1464938423,1858
Disk service queue full,1464938605,903
Percent CPU Utilization,1464940463,357
Percent space used,1464941366,1140
15 Minute Average PageIn/PageOut,1464941723,31
Percent CPU Utilization,1464942863,572
Percent space used,1464942894,179
Percent space used,1464943466,60
Percent disk active,1464943645,118
Disk service queue full,1464943705,542
15 Minute Average PageIn/PageOut,1464943823,420
Percent disk active,1464944365,478
Percent disk active,1464944785,900
15 Minute Average PageIn/PageOut,1464945263,15
15 Minute Average PageIn/PageOut,1464946163,106
URL Issue,1464946178,454
Percent space used,1464946284,0
Percent space used,1464946738,25
Percent space used,1464946738,241
15 Minute Average PageIn/PageOut,1464946763,1019
Percent space used,1464947004,840
15 Minute Average PageIn/PageOut,1464948023,242
cpu_busy : CPU Status,1464948863,238
Disk service queue full,1464949105,360
15 Minute Average PageIn/PageOut,1464949343,180
Service status,1464949703,2
15 Minute Average PageIn/PageOut,1464949883,778
Disk service queue full,1464949885,300
cpu_busy : CPU Status,1464950663,0
15 Minute Average PageIn/PageOut,1464950963,0
Percent CPU Utilization,1464950963,782
Disk service queue full,1464951745,0
Disk service queue full,1464951745,1
Percent cpu idle,1464951746,60
Percent cpu idle,1464951746,179
Disk service queue full,1464951925,538
Disk service queue full,1464951985,482
15 Minute Average PageIn/PageOut,1464952523,600
Percent disk active,1464953005,958
Disk service queue full,1464953605,782
cpu_busy : CPU Status,1464954563,1
Disk service queue full,1464955345,117
Percent cpu idle,1464955346,540
Percent CPU Utilization,1464955463,660
15 Minute Average PageIn/PageOut,1464956003,3
15 Minute Average PageIn/PageOut,1464956663,57
Percent space used,1464956666,2340
15 Minute Average PageIn/PageOut,1464956723,124
Percent CPU Utilization,1464959063,58
Disk service queue full,1464959187,0
Disk service queue full,1464959245,240
Disk service queue full,1464959245,3000
Disk service queue full,1464959485,0
Disk service queue full,1464962485,0
Disk service queue full,1464962485,0
Disk service queue full,1464962485,0
Disk service queue full,1464962485,0
Disk service queue full,1464962485,0
Disk service queue full,1464962485,0
Disk service queue full,1464962485,1
Percent cpu idle,1464962486,0
Disk service queue full,1464962486,0
Percent cpu idle,1464962486,0
Disk service queue full,1464962486,59
Disk service queue full,1464962486,119
Percent disk active,1464962605,30
Percent space used,1464962664,689
Percent space used,1464962694,0
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,0
15 Minute Average PageIn/PageOut,1464963383,60
15 Minute Average PageIn/PageOut,1464963443,0
15 Minute Average PageIn/PageOut,1464963443,0
15 Minute Average PageIn/PageOut,1464963443,0
15 Minute Average PageIn/PageOut,1464963443,0
15 Minute Average PageIn/PageOut,1464963443,1
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,0
15 Minute Average PageIn/PageOut,1464963444,59
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,0
15 Minute Average PageIn/PageOut,1464963503,1
15 Minute Average PageIn/PageOut,1464963504,0
15 Minute Average PageIn/PageOut,1464963504,59
15 Minute Average PageIn/PageOut,1464963563,0
15 Minute Average PageIn/PageOut,1464963563,60
15 Minute Average PageIn/PageOut,1464963563,60
15 Minute Average PageIn/PageOut,1464963623,0
15 Minute Average PageIn/PageOut,1464963683,783
15 Minute Average PageIn/PageOut,1464963683,897
Percent disk active,1464964466,0
Percent CPU Utilization,1464965363,60
Percent CPU Utilization,1464965363,662
Disk service queue full,1464966025,840
Disk service queue full,1464966085,1438
Percent disk active,1464966925,1175
Percent CPU Utilization,1464968363,0
Percent space used,1464969538,60
Percent space used,1464969538,147
Disk service queue full,1464969685,59
Disk service queue full,1464969745,299
Percent space used,1464969804,480
15 Minute Average PageIn/PageOut,1464970103,781
15 Minute Average PageIn/PageOut,1464970583,0
Service status,1464971364,0
Service status,1464971364,0
Service status,1464971364,2
Service status,1464971364,299
Percent CPU Utilization,1464971663,0
Percent disk active,1464971665,58
Disk service queue full,1464971665,900
15 Minute Average PageIn/PageOut,1464971723,541
15 Minute Average PageIn/PageOut,1464972623,0
Service status,1464973164,301
Service status,1464973164,598
Disk service queue full,1464973465,2
Percent CPU Utilization,1464974063,1200
Percent disk active,1464974065,1320
Disk service queue full,1464975265,480
Percent disk active,1464976585,298
Disk service queue full,1464977065,1380
Percent CPU Utilization,1464977363,842
15 Minute Average PageIn/PageOut,1464978743,240
Disk service queue full,1464979585,420
Percent disk active,1464979825,301
Disk service queue full,1464980245,119
Percent cpu idle,1464980546,0
Disk service queue full,1464980665,60
Disk service queue full,1464980665,1740
Disk service queue full,1464982405,300
Disk service queue full,1464982465,898
Disk service queue full,1464982765,422
Percent CPU Utilization,1464983663,180
Disk service queue full,1464984085,1800
Disk service queue full,1464984265,1620
Disk service queue full,1464986065,153
Disk service queue full,1464987685,0
Percent space used,1464987838,625
Percent space used,1464987838,1202
Percent CPU Utilization,1464988463,960
Disk service queue full,1464989665,660
Percent disk active,1464990625,178
Disk service queue full,1464991285,932
Percent CPU Utilization,1464991463,30
Percent space used,1464992395,360
Disk service queue full,1464992425,538
Disk service queue full,1464992785,60
15 Minute Average PageIn/PageOut,1464993323,602
15 Minute Average PageIn/PageOut,1464993383,240
Disk service queue full,1464993985,121
Percent disk active,1464994225,1679
Percent disk active,1464994346,238
Disk service queue full,1464996025,540
Percent CPU Utilization,1464996263,63
15 Minute Average PageIn/PageOut,1464996803,1977
Percent disk active,1464996866,1023
15 Minute Average PageIn/PageOut,1464998843,479
Percent disk active,1464999866,118
Percent disk active,1465000345,2
Percent CPU Utilization,1465000463,1198
Disk service queue full,1465000465,182
Percent CPU Utilization,1465001663,210
Disk service queue full,1465001845,91
Percent space used,1465002055,120
Disk service queue full,1465002146,419
Disk service queue full,1465002266,1381
Percent disk active,1465002685,597
Disk service queue full,1465004066,122
Percent CPU Utilization,1465004663,900
Disk service queue full,1465004785,181
Percent disk active,1465005685,1799
Disk service queue full,1465005866,1620
Disk service queue full,1465007665,61
Disk service queue full,1465009285,838
Disk service queue full,1465009346,779
15 Minute Average PageIn/PageOut,1465010184,903
Percent CPU Utilization,1465010963,897
Disk service queue full,1465011866,1023
Percent CPU Utilization,1465012763,1377
Disk service queue full,1465013786,1082
Percent CPU Utilization,1465015163,241
Disk service queue full,1465016245,780
Disk service queue full,1465016486,2697
Disk service queue full,1465017266,1923
Percent CPU Utilization,1465019963,180
Disk service queue full,1465021886,1620
Disk service queue full,1465022066,900
Disk service queue full,1465023686,58
Disk service queue full,1465024586,2282
15 Minute Average PageIn/PageOut,1465024644,2160
