IDENTIFIER,SERIAL,NODE,NODEALIAS,MANAGER,AGENT,ALERTGROUP,ALERTKEY,SEVERITY,SUMMARY,STATECHANGE,FIRSTOCCURRENCE,LASTOCCURRENCE,LASTMODIFIED,POLL,TYPE,TALLY,CLASS,GRADE,LOCATION,OWNERUID,OWNERGID,ACKNOWLEDGED,FLASH,EVENTID,EXPIRETIME,PROCESSREQ,SUPPRESSESCL,CUSTOMER,SERVICE,TASKLIST,SERVERNAME,SERVERSERIAL,ORIGINALSEVERITY,COMPONENT,COMPONENTTYPE,CUSTOMERCODE,HWTYPE,IBMMANAGED,INSTANCESITUATION,OSTYPE,RESOURCEID,RESOURCETYPE,RESOURCEUSAGE,SUBCOMPONENT,SUPPORTORG,TICKETGROUP,ZHNOTIFYGROUP,ZPROCESSSTATE,ZTICKETSEVERITY,ACKEDBY,CLEAREDBY,OPERATORMESSAGE,DELETEDAT,TICKETNUMBER,INSTANCEID,ZHNOTIFYSTATE,ZBNOTIFYSTATE,ZGENERICACTIONSTATE,ZGENERICACTIONRESULTS,ZTICKETSTATE,CONSOLE,ZDCONSOLETYPE,D_CLIENT_ID,DURATION,GACDW_UID,CHIP_ID,UID,HOSTNAME,FQHN,IP_ADDRESS,AMTICKET,LASTMODIFIEDTIME,TOOL_SOURCE,TOOL_CUSTOMERCODE,FIRSTOCCURRENCE_UTC,LASTOCCURRENCE_UTC,DURATION
ccc_srvqful_xvaw_std:ccc_rocviof1san1:VA::ITM_KVA_DISKS                                                                                                                                                                                                        ,52-004-989,ccc_rocviof1san1,161.162.241.143,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_srvqful_xvaw_std,0,High rate disk service queue becomes full. hdisk114_Path4:207,2016-06-02-00.05.25.000000,2016-06-02-00.01.25.000000,2016-06-02-00.01.25.000000,2016-06-02-00.05.25.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-004-989,2,AIX,ComputerSystem,ccc,,0,Disk service queue full,,rocviof1san1.scaletccs.com,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-00.27.04.000000,,hdisk114_Path4,0,0,0,,0,,Master,299,0,,,22-941-376,,,,,2016-07-25-21.50.09.000000,NETCOL01,ccc,1464796885,1464796885,0
ccc_svc_3ntc_std:DGCTRXW4101:NT:stisvc:ITM_NT_Services                                                                                                                                                                                                         ,52-005-003,ccc_dgctrxw4101,10.98.32.133,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_NT_Services,ccc_svc_3ntc_std,0,Service in alert state. Name stisvc- state: Stopped,2016-06-02-00.33.23.000000,2016-06-02-00.03.23.000000,2016-06-02-00.03.23.000000,2016-06-02-00.33.23.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-005-003,4,Windows,OperatingSystem,ccc,,0,Service status,,dgctrxw4101.scaletccs.com,0,,Service,,,,12,0,,ClearingEvent,,2016-06-02-00.55.04.000000,,stisvc,0,0,0,,0,,Master,299,0,,,22-942-782,,,,,2016-07-25-21.50.09.000000,NETCOL01,ccc,1464797003,1464797003,0
ccc_srvqful_xvaw_std:ccc_rocviof9p1:VA::ITM_KVA_DISKS                                                                                                                                                                                                          ,52-005-042,ccc_rocviof9p1,161.162.241.219,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_srvqful_xvaw_std,0,Cleared and Re-fired: High rate disk service queue becomes full. hdisk1000_Path3:15,2016-06-02-01.41.25.000000,2016-06-02-00.05.25.000000,2016-06-02-01.19.25.000000,2016-06-02-01.41.25.000000,0,20,5,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-005-042,2,AIX,ComputerSystem,ccc,,0,Disk service queue full,,,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-02.03.05.000000,,hdisk535_Path7,0,0,0,,0,,Master,299,0,,,22-942-893,,,,,2016-07-25-21.50.09.000000,NETCOL01,ccc,1464797125,1464801565,4440
ccc_cpu_xuxc_std:ccc_pchix102:KUX:-1:ITM_SMP_CPU                                                                                                                                                                                                               ,52-005-104,ccc_pchix102,161.162.244.5,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_SMP_CPU,ccc_cpu_xuxc_std,0,CPU Workload High (99) or CPU Offline (CPU: -1 Status: on-line),2016-06-02-00.29.23.000000,2016-06-02-00.09.23.000000,2016-06-02-00.09.23.000000,2016-06-02-00.29.23.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-005-104,4,UNIX,ComputerSystem,ccc,,0,cpu_busy : CPU Status,,pchix102.scaletccs.com,0,,CPU,,,,12,0,,ClearingEvent,,2016-06-02-00.51.04.000000,,-1 aggregate,0,0,0,,0,,Master,299,0,,,22-942-844,,,,,2016-07-25-21.50.09.000000,NETCOL01,ccc,1464797363,1464797363,0
ccc_srvqful_xvaw_std:ccc_rocviof6san1:VA::ITM_KVA_DISKS                                                                                                                                                                                                        ,52-005-231,ccc_rocviof6san1,161.162.241.185,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_srvqful_xvaw_std,0,Cleared and Re-fired: High rate disk service queue becomes full. hdisk545_Path1:7,2016-06-02-00.31.25.000000,2016-06-02-00.21.25.000000,2016-06-02-00.29.25.000000,2016-06-02-00.31.25.000000,0,20,4,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-005-231,2,AIX,ComputerSystem,ccc,,0,Disk service queue full,,rocviof6san1.scaletccs.com,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-00.53.04.000000,,hdisk545_Path1,0,0,0,,0,,Master,299,0,,,22-942-889,,,,,2016-07-25-21.50.09.000000,NETCOL01,ccc,1464798085,1464798565,480
ccc_adskprc_xvac_std:ccc_rocviof7san1:VA::ITM_KVA_DISKS                                                                                                                                                                                                        ,52-005-331,ccc_rocviof7san1,161.162.241.195,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_adskprc_xvac_std,0,High disk percent busy:hdisk118_Path2:95.1%,2016-06-02-00.33.25.000000,2016-06-02-00.32.25.000000,2016-06-02-00.32.25.000000,2016-06-02-00.33.25.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-005-331,4,AIX,ComputerSystem,ccc,,0,Percent disk active,,rocviof7san1.scaletccs.com,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-00.55.04.000000,,hdisk118_Path2,0,0,0,,0,,Master,299,0,,,22-941-461,,,,,2016-07-25-21.50.09.000000,NETCOL01,ccc,1464798745,1464798745,0
ccc_prccpu_3ntw_std:ROC4CQWSUS01:NT::ITM_NT_Process                                                                                                                                                                                                            ,52-005-344,ccc_roc4cqwsus01,161.162.243.67,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_NT_Process,ccc_prccpu_3ntw_std,0,Process using high cpu (76%) WmiPrvSE,2016-06-02-00.39.22.000000,2016-06-02-00.34.22.000000,2016-06-02-00.34.22.000000,2016-06-02-00.39.22.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-005-344,2,Windows,OperatingSystem,ccc,,0,Percent CPU Utilization,,,0,,Process,,,,12,0,,ClearingEvent,,2016-06-02-01.01.04.000000,,WmiPrvSE,0,0,0,,0,,Master,299,0,,,22-943-535,,,,,2016-07-25-21.50.09.000000,NETCOL01,ccc,1464798862,1464798862,0
ccc_adskprc_xvac_std:ccc_rocviof9p1:VA::ITM_KVA_DISKS                                                                                                                                                                                                          ,52-005-432,ccc_rocviof9p1,161.162.241.219,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_adskprc_xvac_std,0,High disk percent busy:hdisk369_Path1:96.6%,2016-06-02-00.47.25.000000,2016-06-02-00.45.25.000000,2016-06-02-00.45.25.000000,2016-06-02-00.47.25.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-005-432,4,AIX,ComputerSystem,ccc,,0,Percent disk active,,,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-01.09.04.000000,,hdisk369_Path1,0,0,0,,0,,Master,299,0,,,22-942-960,,,,,2016-07-25-21.50.09.000000,NETCOL01,ccc,1464799525,1464799525,0
ccc_dsp_3ntc_std:ccc_rocsapgui01:NT:C::ITM_NT_Logical_Disk                                                                                                                                                                                                     ,52-005-885,ccc_rocsapgui01,161.162.242.33,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_NT_Logical_Disk,ccc_dsp_3ntc_std,0,High space used (96%) for C:,2016-06-02-01.37.25.000000,2016-06-02-01.35.25.000000,2016-06-02-01.35.25.000000,2016-06-02-01.37.25.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-005-885,4,Windows,ComputerSystem,ccc,,0,Percent space used,,,0,,FileSystem,,,,12,0,,ClearingEvent,,2016-06-02-01.59.05.000000,,C:,0,0,0,,0,,Master,299,0,,,22-943-060,,,,,2016-07-25-21.52.06.000000,NETCOL01,ccc,1464802525,1464802525,0
ccc_adskprc_xvac_std:ccc_rocviof9p1:VA::ITM_KVA_DISKS                                                                                                                                                                                                          ,52-005-884,ccc_rocviof9p1,161.162.241.219,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_adskprc_xvac_std,0,Cleared and Re-fired: High disk percent busy:hdisk369_Path1:96.0%,2016-06-02-01.53.25.000000,2016-06-02-01.35.25.000000,2016-06-02-01.49.25.000000,2016-06-02-01.53.25.000000,0,20,2,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-005-884,4,AIX,ComputerSystem,ccc,,0,Percent disk active,,,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-02.15.05.000000,,hdisk369_Path1,0,0,0,,0,,Master,299,0,,,22-943-131,,,,,2016-07-25-21.52.06.000000,NETCOL01,ccc,1464802525,1464803365,840
