INSTANCESITUATION,FIRSTOCCURRENCE_UTC,Interval
Disk service queue full,1464796885,118
Service status,1464797003,122
Disk service queue full,1464797125,238
cpu_busy : CPU Status,1464797363,722
Disk service queue full,1464798085,660
Percent disk active,1464798745,117
Percent CPU Utilization,1464798862,663
Percent disk active,1464799525,3000
Percent space used,1464802525,0
Percent disk active,1464802525,778
15 Minute Average PageIn/PageOut,1464803303,360
cpu_busy : CPU Status,1464803663,422
Disk service queue full,1464804085,0
Disk service queue full,1464804085,120
Disk service queue full,1464804205,1140
Percent cpu idle,1464805345,1378
15 Minute Average PageIn/PageOut,1464806723,62
Percent disk active,1464806785,660
Disk service queue full,1464807445,120
Disk service queue full,1464807565,180
Percent cpu idle,1464807745,120
Disk service queue full,1464807865,1198
cpu_busy : CPU Status,1464809063,300
cpu_busy : CPU Status,1464809363,242
Disk service queue full,1464809605,1800
Disk service queue full,1464811405,1080
Percent cpu idle,1464812485,177
Percent CPU Utilization,1464812662,301
cpu_busy : CPU Status,1464812963,242
Disk service queue full,1464813205,358
cpu_busy : CPU Status,1464813563,902
Disk service queue full,1464814465,898
cpu_busy : CPU Status,1464815363,1499
Percent CPU Utilization,1464816862,1683
Percent cpu idle,1464818545,840
Disk service queue full,1464819385,660
Percent disk active,1464820045,417
Percent CPU Utilization,1464820462,181
15 Minute Average PageIn/PageOut,1464820643,59
Percent CPU Utilization,1464820702,361
cpu_busy : CPU Status,1464821063,122
Disk service queue full,1464821185,118
15 Minute Average PageIn/PageOut,1464821303,2580
15 Minute Average PageIn/PageOut,1464823883,1862
Percent disk active,1464825745,57
Percent CPU Utilization,1464825802,60
Percent CPU Utilization,1464825862,900
Percent CPU Utilization,1464826762,1262
Percent space used,1464828024,1021
Disk service queue full,1464829045,240
Disk service queue full,1464829285,29
Percent space used,1464829314,148
Percent CPU Utilization,1464829462,3
Disk service queue full,1464829465,120
Percent disk active,1464829585,1378
cpu_busy : CPU Status,1464830963,1739
Percent CPU Utilization,1464832702,183
Disk service queue full,1464832885,1049
Percent space used,1464833934,604
Percent space used,1464834538,0
Percent space used,1464834538,267
Disk service queue full,1464834805,358
Percent CPU Utilization,1464835163,62
Disk service queue full,1464835225,598
15 Minute Average PageIn/PageOut,1464835823,61
Percent space used,1464835884,421
Disk service queue full,1464836305,58
cpu_busy : CPU Status,1464836363,122
Disk service queue full,1464836485,60
Disk service queue full,1464836545,540
Percent cpu idle,1464837085,117
Percent CPU Utilization,1464837202,3
Disk service queue full,1464837205,298
15 Minute Average PageIn/PageOut,1464837503,182
Percent disk active,1464837685,753
Percent space used,1464838438,0
Percent space used,1464838438,627
Percent cpu idle,1464839065,897
Percent CPU Utilization,1464839962,901
cpu_busy : CPU Status,1464840863,2
Percent space used,1464840865,240
Percent disk active,1464841105,658
cpu_busy : CPU Status,1464841763,182
Percent cpu idle,1464841945,60
Disk service queue full,1464842005,540
Disk service queue full,1464842545,118
Percent CPU Utilization,1464842663,902
Disk service queue full,1464843565,120
Disk service queue full,1464843685,60
Percent disk active,1464843745,58
15 Minute Average PageIn/PageOut,1464843803,542
Percent cpu idle,1464844345,120
Percent space used,1464844465,120
Disk service queue full,1464844585,177
Percent CPU Utilization,1464844762,301
Percent CPU Utilization,1464845063,362
Disk service queue full,1464845425,60
Percent space used,1464845485,1020
Percent disk active,1464846505,3540
Percent disk active,1464850045,1080
Disk service queue full,1464851125,300
Disk service queue full,1464851425,240
Disk service queue full,1464851665,178
15 Minute Average PageIn/PageOut,1464851843,182
Disk service queue full,1464852025,240
Percent disk active,1464852265,180
Percent disk active,1464852445,960
Disk service queue full,1464853405,58
Percent CPU Utilization,1464853463,1800
Percent CPU Utilization,1464855263,60
15 Minute Average PageIn/PageOut,1464855323,962
Disk service queue full,1464856285,778
Percent CPU Utilization,1464857063,300
15 Minute Average PageIn/PageOut,1464857363,2
Percent space used,1464857365,1198
Percent CPU Utilization,1464858563,1022
Disk service queue full,1464859585,1078
Percent CPU Utilization,1464860663,1142
Disk service queue full,1464861805,120
Percent disk active,1464861925,778
15 Minute Average PageIn/PageOut,1464862703,782
Disk service queue full,1464863485,898
15 Minute Average PageIn/PageOut,1464864383,182
Percent disk active,1464864565,780
Percent cpu idle,1464865345,0
Disk service queue full,1464865345,0
Percent cpu idle,1464865345,60
Disk service queue full,1464865405,1438
15 Minute Average PageIn/PageOut,1464866843,242
Disk service queue full,1464867085,960
Percent disk active,1464868045,118
Percent CPU Utilization,1464868163,362
Percent disk active,1464868525,60
Percent cpu idle,1464868585,178
cpu_busy : CPU Status,1464868763,122
Disk service queue full,1464868885,0
Disk service queue full,1464868885,60
Disk service queue full,1464868945,0
Percent cpu idle,1464868945,480
Disk service queue full,1464869425,478
15 Minute Average PageIn/PageOut,1464869903,662
Percent disk active,1464870565,420
Percent disk active,1464870985,600
Disk service queue full,1464871585,240
Percent disk active,1464871825,660
Disk service queue full,1464872485,178
Percent CPU Utilization,1464872663,122
Used Memory Pct,1464872785,0
Disk service queue full,1464872785,60
Disk service queue full,1464872845,540
Percent cpu idle,1464873385,60
Percent disk active,1464873445,120
Percent space used,1464873565,720
Disk service queue full,1464874285,120
Percent space used,1464874405,1258
Percent CPU Utilization,1464875663,422
Percent cpu idle,1464876085,0
Disk service queue full,1464876085,0
Disk service queue full,1464876085,0
